,precision,recall,f1-score,support
Paket Data Premium,0.7793103448275862,0.9912280701754386,0.8725868725868726,114.0
Paket Keluarga/Kombo,0.25735294117647056,0.7777777777777778,0.3867403314917127,45.0
Paket Kuota Besar,0.9367469879518072,0.7182448036951501,0.8130718954248366,433.0
Paket Pemula,0.9358974358974359,1.0,0.9668874172185431,146.0
Paket Retensi,0.963718820861678,0.8891213389121339,0.9249183895538629,478.0
Paket Telepon,0.9698492462311558,1.0,0.9846938775510204,193.0
accuracy,0.8679914833215047,0.8679914833215047,0.8679914833215047,0.8679914833215047
macro avg,0.8071459628243556,0.8960619984267502,0.8248164639711414,1409.0
weighted avg,0.9159071923221712,0.8679914833215047,0.8816613347047448,1409.0
